genes	baseMean	log2FoldChange	lfcSE	pvalue	padj
AANAT	AANAT	5.0466747225698	-0.145697405172419	0.196552075300618	0.44579394118025	0.52806909160407
AAR2	AAR2	3515.65012312008	0.287992162761588	0.0445325686705239	9.59502813440916e-11	3.43345310101568e-10
AARD	AARD	2110.27358657007	1.15255919710973	0.273840469838001	8.09310980420995e-06	1.93400113673819e-05
AARS1	AARS1	8922.67015467597	0.311519330236807	0.0735944661033118	2.14521184195645e-05	4.90055014474451e-05
AARS2	AARS2	1175.41516718438	0.18156616155794	0.0587765787793346	0.00195815562621816	0.00359610394771798
AARSD1	AARSD1	48.6938535817921	-0.467945827646751	0.100001902699317	2.35893588982449e-06	5.92372134798289e-06
AARSD1P1	AARSD1P1	12.7694156996325	-0.52428365593954	0.103995154338231	3.24685474443283e-07	8.78605999210858e-07
AASDH	AASDH	1078.51834814202	-0.204483164383753	0.0504163516026105	4.81914710981294e-05	0.000106259204151465
AASDHPPT	AASDHPPT	2229.71956311505	0.294611628691561	0.0575078849811153	2.83000932919013e-07	7.69930609483876e-07
AASS	AASS	1377.80536100144	-1.63935720031774	0.0961051848319966	1.02132988915298e-63	6.00987213475794e-62
AATBC	AATBC	142.245862388269	-0.322027912886818	0.157225765370252	0.0358639418749166	0.0548822286631946
AATF	AATF	3109.60557677335	0.48417449278254	0.0620693809021529	5.63865010447546e-15	2.68566816087239e-14
AATK	AATK	274.944300540084	-0.233836920682054	0.0977752699512621	0.0159134143573893	0.0257989318212649
ABALON	ABALON	0.556858921392512	-0.036276003430409	0.651161569355928	0.966119775121708	0.979497329487391
ABAT	ABAT	3277.01578486438	0.867460340447407	0.176602557840525	5.07679375315228e-07	1.35216757855272e-06
ABCA1	ABCA1	4405.73458727255	-0.903273716419912	0.114664132950804	2.15057944632837e-15	1.05164881249174e-14
ABCA10	ABCA10	676.519482308094	-4.09491713412139	0.182272012521272	1.14566061318472e-100	3.93362015391045e-98
ABCA11P	ABCA11P	60.2513419705998	-0.331591535773629	0.0810869476487146	3.88878863106941e-05	8.65657518334296e-05
ABCA12	ABCA12	1522.85017727619	2.04709525713872	0.299286781917271	1.58897901842382e-12	6.4428162103369e-12
ABCA13	ABCA13	133.436079779949	-1.69626708669427	0.359123682488086	3.01024795703139e-07	8.16767063069012e-07
ABCA17P	ABCA17P	45.2202964235217	0.402192792412866	0.110975369744391	0.000250250797269469	0.000511449343818468
ABCA2	ABCA2	4060.71528570446	-0.132656530386691	0.0760111079218921	0.0791552133133065	0.113319196811119
ABCA3	ABCA3	5052.30821330588	0.738526371444348	0.117006078366433	1.95747125144237e-10	6.84863185667387e-10
ABCA4	ABCA4	275.07337559504	-0.453409209694557	0.166346462754482	0.00514667241250361	0.00896213845429072
ABCA5	ABCA5	2066.04867361498	-1.74851736968186	0.0920238696684337	8.56292335249308e-78	9.8002519210653e-76
ABCA6	ABCA6	1395.13850394938	-2.49117945808864	0.154138131629542	2.6082576316198e-56	1.08518860167334e-54
ABCA7	ABCA7	916.052605692529	0.00843215777129527	0.0838200786817364	0.920279362920062	0.945530067999194
ABCA8	ABCA8	3532.86447563261	-3.94284624834725	0.258732362399431	3.59280102638546e-51	1.16997613534182e-49
ABCA9	ABCA9	1672.74816298487	-3.47897163999808	0.189496046137182	4.05411439637198e-70	3.24375012732341e-68
ABCA9-AS1	ABCA9-AS1	3.75952124772587	-3.04209395123422	0.298304624817327	1.03825156816892e-26	9.74721707148763e-26
ABCB1	ABCB1	752.136836128148	-2.15890190811635	0.126306876688506	4.34905660751458e-63	2.47672120651776e-61
ABCB10	ABCB10	1499.91598602741	0.480877148778377	0.0635772854787955	3.51727826737727e-14	1.58942685823917e-13
ABCB10P1	ABCB10P1	1.27677845633996	0.209958072212271	0.356725826488905	0.523501390632427	0.605038999479131
ABCB10P4	ABCB10P4	0.681000627171013	0.390127543554907	0.49442751414014	0.35659604067379	0.43523792850487
ABCB11	ABCB11	35.6477524770835	-1.90156031437686	0.289605636072369	9.00522865280582e-12	3.4605010464683e-11
